,0
0,38937.82816066213
1,40663.78664074956
2,42389.74512083698
3,46704.64132105555
4,48430.59980114298
5,54471.45448144896
6,55334.43372149268
7,57060.39220158011
8,57060.39220158011
9,61375.28840179867
10,63101.246881886094
11,63964.22612192981
12,63964.22612192981
13,64827.205361973516
14,68279.12232214838
15,71731.03928232324
16,73456.99776241064
17,75182.95624249807
18,80360.83168276036
19,81223.81092280407
20,88127.64484315377
21,90716.5825632849
22,97620.41648363462
23,100209.35420376575
24,104524.25040398432
25,107113.18812411546
26,111428.08432433404
27,112291.06356437774
28,118331.91824468374
29,120057.87672477115
30,126098.73140507714
31,128687.6691252083
32,135591.503045558
33,140769.37848582026
34,145947.25392608257
